File names of the ground truth images in PHISWID.,Corresponding file names (including directory info) for depth images in the large-scale RGB-D database.
56room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125729_depth_vi.png
57room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125807_depth_vi.png
58room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125818_depth_vi.png
59room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125825_depth_vi.png
60room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125829_depth_vi.png
61room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125851_depth_vi.png
62room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125932_depth_vi.png
63room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_125957_depth_vi.png
64room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_130003_depth_vi.png
65room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_130007_depth_vi.png
66room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_130012_depth_vi.png
67room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_130017_depth_vi.png
68room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_130201_depth_vi.png
69room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_130429_depth_vi.png
70room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_131525_depth_vi.png
71room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_131628_depth_vi.png
72room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_131630_depth_vi.png
73room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_131913_depth_vi.png
74room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_131929_depth_vi.png
75room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_131948_depth_vi.png
76room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_131953_depth_vi.png
77room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132022_depth_vi.png
78room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132051_depth_vi.png
79room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132059_depth_vi.png
80room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132105_depth_vi.png
81room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132132_depth_vi.png
82room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132136_depth_vi.png
83room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132140_depth_vi.png
84room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132156_depth_vi.png
85room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132209_depth_vi.png
86room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132218_depth_vi.png
87room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132238_depth_vi.png
88room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132300_depth_vi.png
89room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132312_depth_vi.png
90room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132321_depth_vi.png
91room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132326_depth_vi.png
92room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132330_depth_vi.png
93room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132333_depth_vi.png
94room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132336_depth_vi.png
95room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132340_depth_vi.png
96room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132347_depth_vi.png
97room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132353_depth_vi.png
98room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132354_depth_vi.png
99room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132359_depth_vi.png
100room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132405_depth_vi.png
101room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132412_depth_vi.png
102room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132421_depth_vi.png
103room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132425_depth_vi.png
104room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132804_depth_vi.png
105room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132810_depth_vi.png
106room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132817_depth_vi.png
107room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132823_depth_vi.png
108room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132826_depth_vi.png
109room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132830_depth_vi.png
110room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132834_depth_vi.png
111room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132850_depth_vi.png
112room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132905_depth_vi.png
113room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132932_depth_vi.png
114room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132934_depth_vi.png
115room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132940_depth_vi.png
116room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132945_depth_vi.png
117room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132950_depth_vi.png
118room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_132956_depth_vi.png
119room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133004_depth_vi.png
120room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133009_depth_vi.png
121room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133015_depth_vi.png
122room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133020_depth_vi.png
123room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133026_depth_vi.png
124room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133034_depth_vi.png
125room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133039_depth_vi.png
126room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133044_depth_vi.png
127room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133051_depth_vi.png
128room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133055_depth_vi.png
129room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133059_depth_vi.png
130room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133110_depth_vi.png
131room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133113_depth_vi.png
132room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133116_depth_vi.png
133room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133122_depth_vi.png
134room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133124_depth_vi.png
135room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133128_depth_vi.png
136room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133134_depth_vi.png
137room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133135_depth_vi.png
138room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133138_depth_vi.png
139room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133140_depth_vi.png
140room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133141_depth_vi.png
141room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133146_depth_vi.png
142room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133150_depth_vi.png
143room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133153_depth_vi.png
144room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133156_depth_vi.png
145room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133201_depth_vi.png
146room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133207_depth_vi.png
147room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133211_depth_vi.png
148room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133224_depth_vi.png
149room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133227_depth_vi.png
150room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133231_depth_vi.png
151room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133235_depth_vi.png
152room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133238_depth_vi.png
153room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133241_depth_vi.png
154room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133243_depth_vi.png
155room.png,train/HR/01.Warehouse/depth_vi/in_03_160215_133253_depth_vi.png
156room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141028_depth_vi.png
157room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141032_depth_vi.png
158room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141043_depth_vi.png
159room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141049_depth_vi.png
160room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141110_depth_vi.png
161room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141119_depth_vi.png
162room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141125_depth_vi.png
163room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141135_depth_vi.png
164room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141142_depth_vi.png
165room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141243_depth_vi.png
166room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141309_depth_vi.png
167room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141353_depth_vi.png
168room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141431_depth_vi.png
169room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141439_depth_vi.png
170room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141608_depth_vi.png
171room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141640_depth_vi.png
172room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141641_depth_vi.png
173room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141647_depth_vi.png
174room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141716_depth_vi.png
175room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141725_depth_vi.png
176room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141729_depth_vi.png
177room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141739_depth_vi.png
178room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141742_depth_vi.png
179room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141746_depth_vi.png
180room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141813_depth_vi.png
181room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141818_depth_vi.png
182room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141842_depth_vi.png
183room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141848_depth_vi.png
184room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141902_depth_vi.png
185room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141919_depth_vi.png
186room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141922_depth_vi.png
187room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141926_depth_vi.png
188room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141929_depth_vi.png
189room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_141954_depth_vi.png
190room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142003_depth_vi.png
191room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142103_depth_vi.png
192room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142213_depth_vi.png
193room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142218_depth_vi.png
194room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142233_depth_vi.png
195room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142312_depth_vi.png
196room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142318_depth_vi.png
197room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142336_depth_vi.png
198room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142404_depth_vi.png
199room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142411_depth_vi.png
200room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142428_depth_vi.png
201room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142437_depth_vi.png
202room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142440_depth_vi.png
203room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142447_depth_vi.png
204room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142457_depth_vi.png
205room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142501_depth_vi.png
206room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142512_depth_vi.png
207room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142514_depth_vi.png
208room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142525_depth_vi.png
209room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142545_depth_vi.png
210room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142600_depth_vi.png
211room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142622_depth_vi.png
212room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142635_depth_vi.png
213room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142639_depth_vi.png
214room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142705_depth_vi.png
215room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142735_depth_vi.png
216room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142757_depth_vi.png
217room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142808_depth_vi.png
218room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142828_depth_vi.png
219room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142841_depth_vi.png
220room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142853_depth_vi.png
221room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142859_depth_vi.png
222room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142908_depth_vi.png
223room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142918_depth_vi.png
224room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142926_depth_vi.png
225room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142933_depth_vi.png
226room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142938_depth_vi.png
227room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142941_depth_vi.png
228room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_142954_depth_vi.png
229room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143000_depth_vi.png
230room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143003_depth_vi.png
231room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143022_depth_vi.png
232room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143029_depth_vi.png
233room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143045_depth_vi.png
234room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143054_depth_vi.png
235room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143128_depth_vi.png
236room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143206_depth_vi.png
237room.png,train/HR/01.Warehouse/depth_vi/in_03_160220_143329_depth_vi.png
238room.png,train/HR/02.Cafe/depth_vi/in_00_160315_165831_depth_vi.png
239room.png,train/HR/02.Cafe/depth_vi/in_00_160315_170939_depth_vi.png
240room.png,train/HR/02.Cafe/depth_vi/in_00_160315_170942_depth_vi.png
241room.png,train/HR/02.Cafe/depth_vi/in_00_160315_171013_depth_vi.png
242room.png,train/HR/02.Cafe/depth_vi/in_00_160315_171453_depth_vi.png
243room.png,train/HR/02.Cafe/depth_vi/in_00_160315_171520_depth_vi.png
244room.png,train/HR/02.Cafe/depth_vi/in_01_160322_134248_depth_vi.png
245room.png,train/HR/02.Cafe/depth_vi/in_01_160322_134708_depth_vi.png
246room.png,train/HR/02.Cafe/depth_vi/in_01_160322_140000_depth_vi.png
247room.png,train/HR/02.Cafe/depth_vi/in_01_160322_140620_depth_vi.png
248room.png,train/HR/02.Cafe/depth_vi/in_01_160322_141201_depth_vi.png
249room.png,train/HR/02.Cafe/depth_vi/in_01_160322_141709_depth_vi.png
250room.png,train/HR/02.Cafe/depth_vi/in_01_160322_142418_depth_vi.png
251room.png,train/HR/02.Cafe/depth_vi/in_01_160322_142654_depth_vi.png
252room.png,train/HR/02.Cafe/depth_vi/in_01_160322_142841_depth_vi.png
253room.png,train/HR/02.Cafe/depth_vi/in_01_160322_143823_depth_vi.png
254room.png,train/HR/02.Cafe/depth_vi/in_01_160322_144032_depth_vi.png
255room.png,train/HR/02.Cafe/depth_vi/in_01_160322_144116_depth_vi.png
256room.png,train/HR/02.Cafe/depth_vi/in_01_160322_144253_depth_vi.png
257room.png,train/HR/02.Cafe/depth_vi/in_01_160322_144355_depth_vi.png
258room.png,train/HR/02.Cafe/depth_vi/in_01_160322_144916_depth_vi.png
259room.png,train/HR/02.Cafe/depth_vi/in_01_160322_145109_depth_vi.png
260room.png,train/HR/02.Cafe/depth_vi/in_02_160315_140419_depth_vi.png
261room.png,train/HR/02.Cafe/depth_vi/in_02_160315_150844_depth_vi.png
262room.png,train/HR/02.Cafe/depth_vi/in_02_160315_150950_depth_vi.png
263room.png,train/HR/02.Cafe/depth_vi/in_02_160315_151029_depth_vi.png
264room.png,train/HR/02.Cafe/depth_vi/in_02_160315_151506_depth_vi.png
265room.png,train/HR/02.Cafe/depth_vi/in_02_160315_152333_depth_vi.png
266room.png,train/HR/02.Cafe/depth_vi/in_02_160315_153951_depth_vi.png
267room.png,train/HR/02.Cafe/depth_vi/in_02_160315_161118_depth_vi.png
268room.png,train/HR/02.Cafe/depth_vi/in_02_160315_161129_depth_vi.png
269room.png,train/HR/02.Cafe/depth_vi/in_02_160315_162238_depth_vi.png
270room.png,train/HR/02.Cafe/depth_vi/in_02_160315_163015_depth_vi.png
271room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173218_depth_vi.png
272room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173402_depth_vi.png
273room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173843_depth_vi.png
274room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173851_depth_vi.png
275room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173858_depth_vi.png
276room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173909_depth_vi.png
277room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173916_depth_vi.png
278room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173922_depth_vi.png
279room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173931_depth_vi.png
280room.png,train/HR/02.Cafe/depth_vi/in_03_160125_173938_depth_vi.png
281room.png,train/HR/02.Cafe/depth_vi/in_03_160125_174005_depth_vi.png
282room.png,train/HR/02.Cafe/depth_vi/in_03_160125_174019_depth_vi.png
283room.png,train/HR/02.Cafe/depth_vi/in_03_160125_174050_depth_vi.png
284room.png,train/HR/02.Cafe/depth_vi/in_03_160125_174052_depth_vi.png
285room.png,train/HR/02.Cafe/depth_vi/in_03_160125_174053_depth_vi.png
286room.png,train/HR/02.Cafe/depth_vi/in_03_160125_174056_depth_vi.png
287room.png,train/HR/02.Cafe/depth_vi/in_03_160125_174116_depth_vi.png
288room.png,train/HR/02.Cafe/depth_vi/in_03_160125_181131_depth_vi.png
289room.png,train/HR/02.Cafe/depth_vi/in_03_160125_181151_depth_vi.png
290room.png,train/HR/02.Cafe/depth_vi/in_03_160125_181310_depth_vi.png
291room.png,train/HR/02.Cafe/depth_vi/in_03_160125_183028_depth_vi.png
292room.png,train/HR/02.Cafe/depth_vi/in_03_160125_183202_depth_vi.png
293room.png,train/HR/02.Cafe/depth_vi/in_03_160125_183215_depth_vi.png
294room.png,train/HR/02.Cafe/depth_vi/in_03_160125_183231_depth_vi.png
295room.png,train/HR/02.Cafe/depth_vi/in_03_160125_183240_depth_vi.png
296room.png,train/HR/02.Cafe/depth_vi/in_03_160125_183248_depth_vi.png
297room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155313_depth_vi.png
298room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155315_depth_vi.png
299room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155328_depth_vi.png
300room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155559_depth_vi.png
301room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155621_depth_vi.png
302room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155628_depth_vi.png
303room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155631_depth_vi.png
304room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155637_depth_vi.png
305room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155644_depth_vi.png
306room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155653_depth_vi.png
307room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155659_depth_vi.png
308room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155705_depth_vi.png
309room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155711_depth_vi.png
310room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155730_depth_vi.png
311room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155757_depth_vi.png
312room.png,train/HR/02.Cafe/depth_vi/in_03_160128_155950_depth_vi.png
313room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160122_depth_vi.png
314room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160133_depth_vi.png
315room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160150_depth_vi.png
316room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160233_depth_vi.png
317room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160236_depth_vi.png
318room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160249_depth_vi.png
319room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160309_depth_vi.png
320room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160322_depth_vi.png
321room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160338_depth_vi.png
322room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160403_depth_vi.png
323room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160420_depth_vi.png
324room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160443_depth_vi.png
325room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160457_depth_vi.png
326room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160538_depth_vi.png
327room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160541_depth_vi.png
328room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160549_depth_vi.png
329room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160557_depth_vi.png
330room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160615_depth_vi.png
331room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160635_depth_vi.png
332room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160648_depth_vi.png
333room.png,train/HR/02.Cafe/depth_vi/in_03_160128_160658_depth_vi.png
